    CDQ    "
    CSOE   \0
    CCOM   ,
    CDOL   $
    CEOS   :
    CSC    ;
    CCR    \r
    CGTO   GOTO
    CGS   GOSUB
    CTO   TO
    CSTEP   STEP
    CTHEN   THEN
    CPND   #
    CSROP  <=
    CLE    <=
    CNE    <>
    CGE    >=
    CLT    <
    CGT    >
    CEQ    =
    CEXP   ^
    CMUL   *
    CPLUS   +
    CMINUS   -
    CDIV   /
    CNOT   NOT
    COR   OR
    CAND   AND
    CLPRN   (
    CRPRN   )
    CAASN   =
    CSASN   =
    CSLE    <=
    CSNE    <>
    CSGE    >=
    CSLT    <
    CSGT    >
    CSEQ    =
    CUPLUS   +
    CUMINUS   -
    CSLPRN   (
    CALPRN   \0
    CDLPRN   \0
    CFLPRN   (
    CDSLPR   (
    CACOM   ,
    CFFUN  STR$
    CSTR   STR$
    CCHR   CHR$
    CUSR   USR
    CASC   ASC
    CVAL   VAL
    CLEN   LEN
    CADR   ADR
    CNFNP  ATN
    CNFNP  COS
    CNFNP  PEEK
    CNFNP  SIN
    CNFNP  RND
    CNFNP  FRE
    CNFNP  EXP
    CNFNP  LOG
    CNFNP  CLOG
    CNFNP  SOR
    CNFNP  SGN
    CNFNP  ABS
    CNFNP  INT
    CNFNP  PADDLE
    CNFNP  STICK
    CNFNP  PTRIG
    CNFNP  STRIG



